database,subject_id,New_Key,Lake,County,Township,Range,Section,lat,long,URL 4 (front),URL 8 (back),day,month,month.cat,year,doy
Cards,84931652,36-466,LittleSmoky/Trout(SkylineLittle),Iron,43N,37W,"33, 34",46.08332,-88.92788,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/single/Iron_SkylineLittle_MORT_007.jpg,,5,8,08.August,1959,217
Cards,84932011,43-95,StarBig,Lake,17N,14W,35,43.83277,-85.94454,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Lake_StarBig_MORT_111.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Lake_StarBig_MORT_112.jpg,23,10,10.October,1959,296
Cards,84931887,65-152,DEASESOUTH,OGEMAW,23N,4E,"11, 12, 13, 14",44.38971,-83.89732,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OGEMAW_DEASESOUTH_MORT_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OGEMAW_DEASESOUTH_MORT_0002_2.jpeg,17,3,03.March,1960,77
Cards,84931781,72-78,Houghton,Roscommon,22N,4W,3,44.34999,-84.7251,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Roscommon_Houghton_20191211125301962_MORT_0001.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Roscommon_Houghton_20191211125301962_MORT_0002.jpg,15,4,04.April,1960,106
Cards,84931782,72-78,Houghton,Roscommon,22N,4W,3,44.34999,-84.7251,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Roscommon_Houghton_20191211125301962_MORT_0003.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Roscommon_Houghton_20191211125301962_MORT_0004.jpg,15,4,04.April,1960,106
Cards,84931815,71-128,Lotus,PresqueIsle,34N,8E,33,45.29888,-83.47399,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/PresqueIsle_Lotus_MORT_17.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/PresqueIsle_Lotus_MORT_18.jpeg,27,4,04.April,1960,118
Cards,84931743,36-2047,Harding,Iron,46N,37W,"23, 24, 25, 26",46.36165,-88.89038,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Iron_Harding_MORT_015.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Iron_Harding_MORT_016.jpg,2,5,05.May,1960,123
Cards,84932001,47-81,Ore,Livingston,1N,5E,13,42.48138,-83.7962,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Livingston_Ore_MORT_011.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Livingston_Ore_MORT_012.jpg,6,6,06.June,1960,158
Cards,84931997,47-556,Silver,Livingston,1N,6E,22,42.62865,-83.71883,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Livingston_Silver_MORT_044.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Livingston_Silver_MORT_045.jpg,7,6,06.June,1960,159
Cards,84931735,33-128,Lansing,Ingham,4N,1W,"2, 3, 10, 1?",42.75804,-84.39898,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Ingham_Lansing_MORT_046.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Ingham_Lansing_MORT_047.jpg,9,6,06.June,1960,161
Cards,84931983,49-45,Brevort,Mackinac,"41, 42 42",5W,Many,45.99999,-84.93343,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Mackinac_Brevort_MORT_163.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Mackinac_Brevort_MORT_164.jpg,15,2,02.February,1961,46
Cards,84932041,Dec-50,MARBLE,BRANCH,6S,5W,21,41.90721,-84.90454,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/BRANCH_MARBLE_MORT_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/BRANCH_MARBLE_MORT_0002_2.jpeg,20,4,04.April,1961,110
Cards,84931844,75-968,Sunken,Schoolcraft,47N,14W,22,46.45193,-86.04843,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/Schoolcraft_Sunken_MORT_23.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/Schoolcraft_Sunken_MORT_24.jpeg,7,5,05.May,1961,127
Cards,84932104,2-775,GRANDSABLE,ALGER,49N,14W,M,46.63832,-86.03871,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/ALGER_GRANDSABLE_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/ALGER_GRANDSABLE_MORT_0001_2.jpeg,27,6,06.June,1961,178
Cards,84932085,May-51,TORCH,ANTRIM,"28, 29, 30, 31N",8W,Many,44.98332,-85.30843,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/ANTRIM_TORCH_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/ANTRIM_TORCH_MORT_0001_2.jpeg,7,6,06.June,1961,158
Cards,84931719,26-3,Wixom,Gladwin,17N,1E,Many,43.817,-84.38478,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Gladwin_Wixom_MORT_028.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Gladwin_Wixom_MORT_029.jpg,12,6,06.June,1961,163
Cards,84931952,56-14,Sanford,Midland,"15, 16N",1W,Many,43.67693,-84.38009,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Midland_Sanford_MORT_096.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Midland_Sanford_MORT_097.jpg,12,6,06.June,1961,163
Cards,84931946,60-226,GRASS,MONTMORENCY,32N,3E,"25, 26, 35, 36",45.12693,-84.0251,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/MONTMORENCY_GRASS_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/MONTMORENCY_GRASS_MORT_0001_2.jpeg,21,6,06.June,1961,172
Cards,84932038,13-9,DUCK,CALHOUN,1S,4W,15-21,42.38582,-84.78593,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/CALHOUN_DUCK_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/CALHOUN_DUCK_MORT_0001_2.jpeg,7,6,06.June,1961,158
Cards,84932016,41-324,Silver,Kent,8N,10W,"9, 10",43.09138,-85.49148,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Kent_Silver_MORT_021.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Kent_Silver_MORT_022.jpg,1,6,06.June,1961,152
Cards,84931995,48-249,Benny,Luce,47N,12W,24,46.44999,-85.75704,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Luce_Benny_MORT_018.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Luce_Benny_MORT_019.jpg,16,7,07.July,1961,197
Cards,84931639,30-278,Long 7S,Hillsdale,7S,4W,"5, 8, 17",41.87332,-84.79676,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/single/Hillsdale_Long 7S_4W_S8-17_MORT_002.jpg,,17,9,09.September,1961,260
Cards,84931725,28-125,Mud26N,GrandTraverse,"26, 27N",12W,"4, 5, 6, 31, 32, 33",44.64332,-85.75787,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/GrandTraverse_Mud26N_12W_S5-6-31-32_MORT_012.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/GrandTraverse_Mud26N_12W_S5-6-31-32_MORT_013.jpg,12,4,04.April,1962,102
Cards,84931918,63-1287,HART,OAKLAND,4N,11E,"6, 7",42.783,-83.19894,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_HART_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_HART_MORT_0001_2.jpeg,12,4,04.April,1962,102
Cards,84931747,36-1502,Marten,Iron,46N,35W,"9, 16",46.39443,-88.69315,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Iron_Marten_MORT_032.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/a_first/Iron_Marten_MORT_033.jpg,26,4,04.April,1962,116
Cards,84931919,63-728,GRASST3NR8ES781718,OAKLAND,3N,8E,"7, 8, 17, 18",42.66888,-83.54232,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_GRASST3NR8ES781718_MORT_0001_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/OAKLAND_GRASST3NR8ES781718_MORT_0001_2.jpeg,3,4,04.April,1962,93
Cards,84931600,81-61,WINNEWANNA,WASHTENAW,1S,3E,"28, 29, 32",42.34983,-84.10796,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/MORT/double/WASHTENAW_WINNEWANNA_MORT_0002_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/MORT/double/WASHTENAW_WINNEWANNA_MORT_0002_2.jpeg,2,4,04.April,1962,92
Cards,84931834,75-440,East,Schoolcraft,44N,17W,27,46.17915,-86.41093,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/Schoolcraft_East_MORT_33.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss1/MORT/double/b_first/Schoolcraft_East_MORT_34.jpeg,7,6,06.June,1962,158
Cards,84931601,81-61,WINNEWANNA,WASHTENAW,1S,3E,29,42.34983,-84.10796,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/MORT/double/WASHTENAW_WINNEWANNA_MORT_0003_1.jpeg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss3/MORT/double/WASHTENAW_WINNEWANNA_MORT_0003_2.jpeg,27,1,01.January,1963,27
Cards,84931961,55-58,HermansvillePond,Menominee,38N,27W,"2, 3",45.70984,-87.61177,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Menominee_HermansvillePond_MORT_038.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Menominee_HermansvillePond_MORT_039.jpg,28,3,03.March,1963,87
Cards,84931960,55-58,HermansvillePond,Menominee,38N,27W,"2, 3",45.70984,-87.61177,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Menominee_HermansvillePond_MORT_040.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Menominee_HermansvillePond_MORT_041.jpg,27,3,03.March,1963,86
Cards,84931973,52-291,ShagBig,Marquette,45N,26W,"25, 26, 36",46.26832,-87.5076,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Marquette_ShagBig_MORT_030.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Marquette_ShagBig_MORT_031.jpg,7,4,04.April,1963,97
Cards,84931614,49-201,Strouble,Mackinac,43N,7W,"4, 5, 8, 9",46.14554,-85.19677,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/single/Mackinac_Strouble_MORT_006.jpg,,21,4,04.April,1963,111
Cards,84931962,55-5,Hayward,Menominee,34N,26W,"2, 3, 10, 11",45.36443,-87.50065,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Menominee_Hayward_MORT_005.jpg,https://changes-ifr.s3.us-east-2.amazonaws.com/ss2/MORT/double/a_first/Menominee_Hayward_MORT_006.jpg,16,4,04.April,1963,106
